Features,Safe ,Unsafe,safe,unsafe,diff,,,,,,,
Transport hub ,2,0,0.00,0.00,0.00,,,,,,,
Job ,2,0,0.00,0.00,0.00,,,,,,,
Carnivore ,2,0,0.00,0.00,0.00,,,,,,,
Flag ,2,0,0.00,0.00,0.00,,,,,,,
Office equipment ,2,0,0.00,0.00,0.00,,,,,,,
Hazard ,1,0,0.00,0.00,0.00,,,,,,,
Banner ,1,0,0.00,0.00,0.00,,,,,,,
Automotive wheel system ,1,0,0.00,0.00,0.00,,,,,,,
Competition event ,1,0,0.00,0.00,0.00,,,,,,,
Sink ,1,0,0.00,0.00,0.00,,,,,,,
Fuel ,1,0,0.00,0.00,0.00,,,,,,,
Commercial vehicle ,1,0,0.00,0.00,0.00,,,,,,,
Clock ,1,0,0.00,0.00,0.00,,,,,,,
Astronomical object ,1,0,0.00,0.00,0.00,,,,,,,
Wire fencing ,1,0,0.00,0.00,0.00,,,,,,,
Transport ,0,1,0.01,0.01,0.00,,,,,,,
