long 16.9925556875 lat 46.457557875 viewpoint 180 degrees.jpeg,Cloud 94,Sky 92,Window 90,Infrastructure 89,Asphalt 88,Road surface 88,Building 87,Architecture 86,Mode of transport 86,Motor vehicle 85
long 16.9925556875 lat 46.457557875 viewpoint 270 degrees.jpeg,Property 94,Product 91,Building 89,Window 88,Font 83,Line 83,Wall 81,Screenshot 80,Facade 79,Gas 77
long 16.9925556875 lat 46.457557875 viewpoint 90 degrees.jpeg,Building 95,Window 95,Rectangle 86,Architecture 85,Font 83,Line 82,Facade 80,Fixture 80,Brick 78,Automotive exterior 73
long 16.99256375 lat 46.45764525 viewpoint 0 degrees.jpeg,Building 94,Window 93,Cloud 93,Sky 91,Infrastructure 89,Road surface 88,Asphalt 88,Urban design 84,Line 82,Font 82
long 16.99256375 lat 46.45764525 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Window 90,Building 90,Infrastructure 90,Asphalt 88,Road surface 87,Architecture 85,Urban design 84,Mode of transport 84
long 16.99256375 lat 46.45764525 viewpoint 270 degrees.jpeg,Building 96,Cloud 92,Window 90,Sky 87,Asphalt 87,Urban design 85,Screenshot 83,Font 77,Road surface 76,Facade 74
long 16.99256375 lat 46.45764525 viewpoint 90 degrees.jpeg,Window 94,Building 91,Line 82,Font 82,Facade 79,Screenshot 79,Urban design 77,Wood 67,Games 66,Brick 64
long 16.9925723 lat 46.4573699 viewpoint 0 degrees.jpeg,Cloud 92,Infrastructure 90,Asphalt 88,Building 88,Sky 87,Road surface 87,Window 87,Mode of transport 85,Line 83,Urban design 82
long 16.9925723 lat 46.4573699 viewpoint 180 degrees.jpeg,Car 95,Tire 95,Sky 95,Cloud 95,Wheel 91,Window 91,Building 90,Infrastructure 89,Automotive lighting 89,Asphalt 88
long 16.9925723 lat 46.4573699 viewpoint 270 degrees.jpeg,Property 94,Window 93,Building 91,Yellow 84,Font 83,Line 82,Rectangle 79,Facade 78,Urban design 78,Screenshot 76
long 16.9925723 lat 46.4573699 viewpoint 90 degrees.jpeg,Window 94,Property 94,Building 91,Product 91,Line 82,Font 81,Facade 79,House 79,Screenshot 77,Door 73
long 16.99257285 lat 46.4576351 viewpoint 0 degrees.jpeg,Building 94,Window 93,Cloud 93,Sky 91,Infrastructure 89,Road surface 88,Asphalt 88,Urban design 84,Line 82,Font 82
long 16.99257285 lat 46.4576351 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Window 90,Building 90,Infrastructure 90,Asphalt 88,Road surface 87,Architecture 85,Urban design 84,Mode of transport 84
long 16.99257285 lat 46.4576351 viewpoint 270 degrees.jpeg,Building 96,Cloud 92,Window 90,Sky 87,Asphalt 87,Urban design 85,Screenshot 83,Font 77,Road surface 76,Facade 74
long 16.99257285 lat 46.4576351 viewpoint 90 degrees.jpeg,Window 94,Building 91,Line 82,Font 82,Facade 79,Screenshot 79,Urban design 77,Wood 67,Games 66,Brick 64
long 16.992581125 lat 46.457561625 viewpoint 0 degrees.jpeg,Cloud 94,Sky 94,Window 89,Asphalt 86,Road surface 85,Screenshot 83,Urban design 83,Font 83,Line 82,Building 80
long 16.992581125 lat 46.457561625 viewpoint 180 degrees.jpeg,Cloud 94,Sky 92,Window 90,Infrastructure 89,Asphalt 88,Road surface 88,Building 87,Architecture 86,Mode of transport 86,Motor vehicle 85
long 16.992581125 lat 46.457561625 viewpoint 270 degrees.jpeg,Property 94,Product 91,Building 89,Window 88,Font 83,Line 83,Wall 81,Screenshot 80,Facade 79,Gas 77
long 16.992581125 lat 46.457561625 viewpoint 90 degrees.jpeg,Building 95,Window 95,Rectangle 86,Architecture 85,Font 83,Line 82,Facade 80,Fixture 80,Brick 78,Automotive exterior 73
long 16.992583275 lat 46.457584925 viewpoint 0 degrees.jpeg,Building 94,Window 93,Cloud 93,Sky 91,Infrastructure 89,Road surface 88,Asphalt 88,Urban design 84,Line 82,Font 82
long 16.992583275 lat 46.457584925 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Window 90,Building 90,Infrastructure 90,Asphalt 88,Road surface 87,Architecture 85,Urban design 84,Mode of transport 84
long 16.992583275 lat 46.457584925 viewpoint 270 degrees.jpeg,Building 96,Cloud 91,Window 90,Sky 87,Asphalt 87,Urban design 85,Screenshot 83,Font 77,Road surface 77,Facade 75
long 16.992583275 lat 46.457584925 viewpoint 90 degrees.jpeg,Window 94,Building 91,Line 82,Font 82,Facade 79,Screenshot 79,Urban design 77,Wood 67,Games 66,Brick 64
