long 16.9896828333333 lat 46.4552162777778 viewpoint 270 degrees.jpeg,Cloud 97,Sky 96,Photograph 94,Infrastructure 90,Asphalt 88,Lighting 87,Road surface 87,Urban design 84,Mode of transport 84,Screenshot 83
long 16.9896828333333 lat 46.4552162777778 viewpoint 90 degrees.jpeg,Cloud 96,Building 92,Street light 90,Infrastructure 89,Road surface 88,Asphalt 87,Sky 87,Thoroughfare 85,Urban design 84,Automotive mirror 82
long 16.9896928571429 lat 46.455258 viewpoint 0 degrees.jpeg,Window 94,Building 88,Asphalt 85,Mode of transport 84,Font 82,Line 82,Screenshot 78,Road 77,Tree 76,Facade 75
long 16.9896928571429 lat 46.455258 viewpoint 180 degrees.jpeg,Cloud 96,Building 95,Window 92,Urban design 84,House 83,Screenshot 82,Sky 81,Public space 81,Neighbourhood 81,Asphalt 80
long 16.9896928571429 lat 46.455258 viewpoint 270 degrees.jpeg,Cloud 97,Sky 96,Photograph 94,Infrastructure 90,Asphalt 88,Lighting 87,Road surface 87,Urban design 84,Mode of transport 84,Screenshot 83
long 16.9896928571429 lat 46.455258 viewpoint 90 degrees.jpeg,Cloud 96,Building 92,Street light 90,Infrastructure 89,Road surface 88,Asphalt 87,Sky 87,Thoroughfare 85,Urban design 84,Automotive mirror 82
long 16.9896943928571 lat 46.4553028214286 viewpoint 0 degrees.jpeg,Window 94,Building 88,Asphalt 85,Mode of transport 84,Font 82,Line 82,Screenshot 78,Road 77,Tree 76,Facade 75
long 16.9896943928571 lat 46.4553028214286 viewpoint 180 degrees.jpeg,Cloud 96,Building 95,Window 92,Urban design 84,House 83,Screenshot 82,Sky 81,Public space 81,Neighbourhood 81,Asphalt 80
long 16.9896943928571 lat 46.4553028214286 viewpoint 270 degrees.jpeg,Cloud 97,Sky 96,Photograph 94,Infrastructure 90,Asphalt 88,Lighting 87,Road surface 87,Urban design 84,Mode of transport 84,Screenshot 83
long 16.9896943928571 lat 46.4553028214286 viewpoint 90 degrees.jpeg,Cloud 96,Building 92,Street light 90,Infrastructure 89,Road surface 88,Asphalt 87,Sky 87,Thoroughfare 85,Urban design 84,Automotive mirror 82
long 16.9897036071429 lat 46.45530325 viewpoint 0 degrees.jpeg,Window 94,Building 88,Asphalt 85,Mode of transport 84,Font 82,Line 82,Screenshot 78,Road 77,Tree 76,Facade 75
long 16.9897036071429 lat 46.45530325 viewpoint 180 degrees.jpeg,Cloud 96,Building 95,Window 92,Urban design 84,House 83,Screenshot 82,Sky 81,Public space 81,Neighbourhood 81,Asphalt 80
long 16.9897036071429 lat 46.45530325 viewpoint 270 degrees.jpeg,Cloud 97,Sky 96,Photograph 94,Infrastructure 90,Asphalt 88,Lighting 87,Road surface 87,Urban design 84,Mode of transport 84,Screenshot 83
long 16.9897036071429 lat 46.45530325 viewpoint 90 degrees.jpeg,Cloud 96,Building 92,Street light 90,Infrastructure 89,Road surface 88,Asphalt 87,Sky 87,Thoroughfare 85,Urban design 84,Automotive mirror 82
