long 16.992164 lat 46.448739 viewpoint 0 degrees.jpeg,Sky 96,Cloud 94,Photograph 94,Street light 91,Infrastructure 90,Road surface 89,Asphalt 87,Window 87,Tree 86,Urban design 84
long 16.9933771269841 lat 46.4493936269841 viewpoint 180 degrees.jpeg,Plant 96,Ecoregion 93,Cloud 90,Nature 90,Natural environment 89,Natural landscape 87,Tree 86,Vegetation 86,Biome 84,Screenshot 82
long 16.9933771269841 lat 46.4493936269841 viewpoint 270 degrees.jpeg,Plant 97,Cloud 95,Sky 94,Nature 90,Building 90,Tree 89,Window 88,Fence 85,Land lot 85,Grass 83
long 16.9933771269841 lat 46.4493936269841 viewpoint 90 degrees.jpeg,Plant 93,Tree 88,Asphalt 84,Screenshot 83,Road surface 82,Font 81,Urban design 81,Woody plant 80,Software 77,Electronic device 75
long 16.9933849166667 lat 46.4493815416667 viewpoint 0 degrees.jpeg,Building 95,Window 93,Cloud 93,Sky 93,Nature 90,Fence 86,Land lot 85,Tree 85,House 85,Biome 84
long 16.9933849166667 lat 46.4493815416667 viewpoint 180 degrees.jpeg,Plant 96,Ecoregion 93,Nature 90,Natural environment 89,Natural landscape 88,Tree 86,Vegetation 86,Biome 84,Cloud 84,Screenshot 83
long 16.9933849166667 lat 46.4493815416667 viewpoint 270 degrees.jpeg,Plant 97,Cloud 95,Sky 94,Building 91,Nature 90,Window 88,Tree 88,Fence 85,Land lot 85,Road surface 83
long 16.9933849166667 lat 46.4493815416667 viewpoint 90 degrees.jpeg,Plant 92,Tree 88,Asphalt 83,Screenshot 83,Biome 83,Road surface 80,Woody plant 80,Font 80,Urban design 79,Electronic device 75
long 16.99338888 lat 46.44937802 viewpoint 0 degrees.jpeg,Building 95,Property 94,Sky 94,Window 93,Cloud 92,Nature 90,Fence 86,Land lot 85,Tree 85,Biome 84
long 16.99338888 lat 46.44937802 viewpoint 180 degrees.jpeg,Plant 96,Ecoregion 93,Cloud 90,Nature 90,Natural environment 89,Natural landscape 87,Tree 86,Vegetation 86,Biome 84,Screenshot 82
long 16.99338888 lat 46.44937802 viewpoint 270 degrees.jpeg,Plant 97,Cloud 95,Sky 94,Nature 90,Building 90,Tree 89,Window 88,Fence 85,Land lot 85,Grass 83
long 16.99338888 lat 46.44937802 viewpoint 90 degrees.jpeg,Plant 93,Tree 88,Asphalt 84,Screenshot 83,Road surface 82,Font 81,Urban design 81,Woody plant 80,Software 77,Electronic device 75
long 16.9933895481482 lat 46.4493724148148 viewpoint 0 degrees.jpeg,Building 95,Property 94,Sky 94,Cloud 93,Window 92,Nature 90,Land lot 86,Tree 86,Fence 85,Biome 84
long 16.9933895481482 lat 46.4493724148148 viewpoint 180 degrees.jpeg,Plant 97,Ecoregion 92,Cloud 89,Natural landscape 89,Tree 87,Sky 86,Vegetation 85,Biome 84,Terrestrial plant 82,Screenshot 82
long 16.9933895481482 lat 46.4493724148148 viewpoint 270 degrees.jpeg,Plant 96,Cloud 95,Sky 95,Building 92,Nature 90,Tree 89,Window 89,Lighting 87,Architecture 85,Fence 85
long 16.9933895481482 lat 46.4493724148148 viewpoint 90 degrees.jpeg,Plant 93,Tree 89,Mode of transport 84,Asphalt 84,Screenshot 84,Font 81,Woody plant 81,Urban design 80,Road surface 80,Software 77
long 16.9933993877551 lat 46.4493825714286 viewpoint 0 degrees.jpeg,Building 95,Window 93,Cloud 93,Sky 93,Nature 90,Fence 86,Land lot 85,Tree 85,House 85,Biome 84
