long 16.992164 lat 46.448739 viewpoint 0 degrees.jpeg,Sky 96,Cloud 94,Photograph 94,Street light 91,Infrastructure 90,Road surface 89,Asphalt 87,Window 87,Tree 86,Urban design 84
long 16.99610096 lat 46.44843684 viewpoint 0 degrees.jpeg,Plant 96,Tree 91,Nature 90,Natural environment 89,Branch 88,Natural landscape 87,Biome 84,Grass 82,Woody plant 81,Screenshot 80
long 16.99610096 lat 46.44843684 viewpoint 180 degrees.jpeg,Building 95,Property 94,Tree 89,Window 88,House 86,Plant 86,Biome 85,Sky 84,Neighbourhood 82,Residential area 81
long 16.99610096 lat 46.44843684 viewpoint 270 degrees.jpeg,Plant 92,Road surface 89,Tree 88,Asphalt 88,Sky 88,Thoroughfare 84,Biome 83,Natural landscape 81,Screenshot 81,Woody plant 80
long 16.99610096 lat 46.44843684 viewpoint 90 degrees.jpeg,Road surface 90,Plant 90,Infrastructure 89,Asphalt 88,Tree 87,Natural landscape 87,Biome 84,Urban design 83,Font 83,Line 82
long 16.9961015647059 lat 46.4484113176471 viewpoint 0 degrees.jpeg,Plant 96,Tree 91,Nature 90,Natural environment 89,Branch 88,Natural landscape 87,Biome 84,Grass 82,Woody plant 81,Screenshot 80
long 16.9961015647059 lat 46.4484113176471 viewpoint 180 degrees.jpeg,Building 95,Property 94,Tree 89,Window 88,House 86,Plant 86,Biome 85,Sky 84,Neighbourhood 82,Residential area 81
long 16.9961015647059 lat 46.4484113176471 viewpoint 270 degrees.jpeg,Plant 92,Road surface 89,Tree 88,Asphalt 88,Sky 88,Thoroughfare 84,Biome 83,Natural landscape 81,Screenshot 81,Woody plant 80
long 16.9961015647059 lat 46.4484113176471 viewpoint 90 degrees.jpeg,Road surface 90,Plant 90,Infrastructure 89,Asphalt 88,Tree 87,Natural landscape 87,Biome 84,Urban design 83,Font 83,Line 82
long 16.9961024571429 lat 46.4493194 viewpoint 0 degrees.jpeg,Plant 93,Tree 90,Infrastructure 89,Road surface 87,Asphalt 86,Urban design 84,Thoroughfare 82,Biome 82,Woody plant 81,Road 80
long 16.9961024571429 lat 46.4493194 viewpoint 180 degrees.jpeg,Nature 90,Plant 90,Tree 89,Road surface 89,Infrastructure 89,Asphalt 89,Natural landscape 86,Font 84,Biome 83,Thoroughfare 83
long 16.9961024571429 lat 46.4493194 viewpoint 270 degrees.jpeg,Plant 96,Tree 89,Natural landscape 88,Vegetation 85,Terrestrial plant 84,Biome 84,Font 82,Grass 81,Screenshot 79,Software 78
long 16.9961024571429 lat 46.4493194 viewpoint 90 degrees.jpeg,Plant 95,World 90,Tree 88,Biome 84,Terrestrial plant 84,Screenshot 82,Font 82,Natural landscape 81,Woody plant 80,Grass 80
long 16.996103 lat 46.4487705454545 viewpoint 0 degrees.jpeg,Plant 95,Infrastructure 89,Tree 89,Road surface 89,Asphalt 88,Lighting 86,Urban design 85,Yellow 84,Graphics software 84,Biome 84
long 16.996103 lat 46.4487705454545 viewpoint 180 degrees.jpeg,Plant 95,Sky 91,Infrastructure 89,Asphalt 89,Natural landscape 88,Tree 88,Road surface 88,Thoroughfare 84,Biome 84,Font 83
long 16.996103 lat 46.4487705454545 viewpoint 270 degrees.jpeg,Plant 97,Nature 90,Natural environment 89,Tree 89,Natural landscape 87,Vegetation 85,Terrestrial plant 85,Biome 84,Font 84,Screenshot 82
long 16.996103 lat 46.4487705454545 viewpoint 90 degrees.jpeg,Cloud 95,Plant 94,Nature 90,Natural environment 89,Tree 86,Sky 85,Vegetation 85,Biome 83,Grass 83,Screenshot 82
long 16.9961061125 lat 46.4484267 viewpoint 0 degrees.jpeg,Plant 96,Tree 91,Nature 90,Natural environment 89,Branch 88,Natural landscape 87,Biome 84,Grass 82,Woody plant 81,Screenshot 80
long 16.9961061125 lat 46.4484267 viewpoint 180 degrees.jpeg,Building 95,Property 94,Tree 89,Window 88,House 86,Plant 86,Biome 85,Sky 84,Neighbourhood 82,Residential area 81
long 16.9961061125 lat 46.4484267 viewpoint 270 degrees.jpeg,Plant 92,Road surface 89,Tree 88,Asphalt 88,Sky 88,Thoroughfare 84,Biome 83,Natural landscape 81,Screenshot 81,Woody plant 80
long 16.9961061125 lat 46.4484267 viewpoint 90 degrees.jpeg,Road surface 90,Plant 90,Infrastructure 89,Asphalt 88,Tree 87,Natural landscape 87,Biome 84,Urban design 83,Font 83,Line 82
long 16.9961083058824 lat 46.4496142235294 viewpoint 0 degrees.jpeg,Plant 95,Photograph 94,Nature 90,Tree 89,Cloud 86,Asphalt 85,Urban design 85,Biome 84,Road surface 83,Screenshot 83
long 16.9961083058824 lat 46.4496142235294 viewpoint 180 degrees.jpeg,Plant 93,Infrastructure 90,Nature 90,Road surface 89,Sky 89,Tree 89,Asphalt 89,Thoroughfare 87,Yellow 85,Natural landscape 84
long 16.9961083058824 lat 46.4496142235294 viewpoint 270 degrees.jpeg,Plant 96,Ecoregion 92,Natural landscape 90,Nature 90,Natural environment 89,Tree 88,Land lot 85,Vegetation 85,Biome 84,Grass 83
long 16.9961083058824 lat 46.4496142235294 viewpoint 90 degrees.jpeg,Plant 96,Photograph 94,Nature 90,Natural environment 89,World 88,Tree 88,Vegetation 86,Biome 84,Screenshot 84,Urban design 83
long 16.9961089615385 lat 46.4483976538462 viewpoint 0 degrees.jpeg,Plant 97,Ecoregion 92,Tree 91,Nature 90,Natural landscape 88,Branch 87,Biome 84,Grass 82,Woody plant 81,Screenshot 81
long 16.9961089615385 lat 46.4483976538462 viewpoint 180 degrees.jpeg,Building 96,Property 94,Window 90,Tree 89,Plant 88,House 87,Architecture 85,Biome 84,Neighbourhood 83,Residential area 82
long 16.9961089615385 lat 46.4483976538462 viewpoint 270 degrees.jpeg,Plant 92,Sky 89,Road surface 89,Infrastructure 89,Asphalt 89,Tree 89,Mode of transport 84,Biome 83,Thoroughfare 83,Line 82
long 16.9961089615385 lat 46.4483976538462 viewpoint 90 degrees.jpeg,Plant 90,Infrastructure 89,Road surface 89,Asphalt 88,Tree 87,Natural landscape 86,Biome 84,Font 83,Urban design 83,Line 82
long 16.9961091851852 lat 46.4488416790123 viewpoint 0 degrees.jpeg,Plant 97,Tree 90,Infrastructure 89,Road surface 88,Asphalt 87,Urban design 84,Biome 83,Thoroughfare 82,Line 82,Woody plant 81
long 16.9961091851852 lat 46.4488416790123 viewpoint 180 degrees.jpeg,Plant 93,Sky 90,Nature 90,Tree 89,Asphalt 88,Road surface 88,Natural landscape 85,Biome 84,Font 84,Screenshot 83
long 16.9961091851852 lat 46.4488416790123 viewpoint 270 degrees.jpeg,Plant 97,Green 90,Nature 90,Natural landscape 89,Tree 88,Terrestrial plant 86,Vegetation 85,Land lot 85,Biome 83,Font 82
long 16.9961091851852 lat 46.4488416790123 viewpoint 90 degrees.jpeg,Plant 95,Tree 86,Biome 83,Screenshot 83,Terrestrial plant 82,Grass 79,Font 79,Landscape 77,Software 77,Lawn 74
long 16.99610925 lat 46.4493422 viewpoint 0 degrees.jpeg,Plant 93,Tree 90,Infrastructure 89,Road surface 87,Asphalt 86,Urban design 84,Thoroughfare 82,Biome 82,Woody plant 81,Road 80
long 16.99610925 lat 46.4493422 viewpoint 180 degrees.jpeg,Nature 90,Plant 90,Tree 89,Road surface 89,Infrastructure 89,Asphalt 89,Natural landscape 86,Font 84,Biome 83,Thoroughfare 83
long 16.99610925 lat 46.4493422 viewpoint 270 degrees.jpeg,Plant 96,Tree 89,Natural landscape 88,Vegetation 85,Terrestrial plant 84,Biome 84,Font 82,Grass 81,Screenshot 79,Software 78
long 16.99610925 lat 46.4493422 viewpoint 90 degrees.jpeg,Plant 95,World 90,Tree 88,Biome 84,Terrestrial plant 84,Screenshot 82,Font 82,Natural landscape 81,Woody plant 80,Grass 80
long 16.9961098166667 lat 46.4483958333333 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 91,Nature 90,Branch 87,Natural landscape 87,Vegetation 85,Biome 84,Woody plant 81,Screenshot 81
long 16.9961098166667 lat 46.4483958333333 viewpoint 180 degrees.jpeg,Property 94,Building 94,Nature 90,Window 89,Tree 88,Lighting 86,House 85,Biome 85,Plant 84,Sky 84
long 16.9961098166667 lat 46.4483958333333 viewpoint 270 degrees.jpeg,Plant 93,Road surface 90,Asphalt 89,Infrastructure 89,Tree 88,Sky 88,Thoroughfare 84,Biome 83,Line 82,Natural landscape 82
long 16.9961098166667 lat 46.4483958333333 viewpoint 90 degrees.jpeg,Plant 91,Road surface 90,Infrastructure 90,Asphalt 89,Tree 88,Natural landscape 86,Biome 84,Urban design 83,Line 83,Font 82
long 16.9961098888889 lat 46.4484528888889 viewpoint 0 degrees.jpeg,Plant 96,Tree 91,Nature 90,Natural environment 89,Branch 88,Natural landscape 87,Biome 84,Grass 82,Woody plant 81,Screenshot 80
long 16.9961098888889 lat 46.4484528888889 viewpoint 180 degrees.jpeg,Building 95,Property 94,Tree 89,Window 88,House 86,Plant 86,Biome 85,Sky 84,Neighbourhood 82,Residential area 81
long 16.9961098888889 lat 46.4484528888889 viewpoint 270 degrees.jpeg,Plant 92,Road surface 89,Tree 88,Asphalt 88,Sky 88,Thoroughfare 84,Biome 83,Natural landscape 81,Screenshot 81,Woody plant 80
long 16.9961098888889 lat 46.4484528888889 viewpoint 90 degrees.jpeg,Road surface 90,Plant 90,Infrastructure 89,Asphalt 88,Tree 87,Natural landscape 87,Biome 84,Urban design 83,Font 83,Line 82
long 16.9961100947368 lat 46.4495722736842 viewpoint 0 degrees.jpeg,Plant 95,Sky 91,Tree 90,Infrastructure 89,Asphalt 88,Cloud 87,Mode of transport 84,Road surface 83,Screenshot 83,Thoroughfare 82
long 16.9961100947368 lat 46.4495722736842 viewpoint 180 degrees.jpeg,Plant 96,Sky 93,Nature 90,Tree 89,Infrastructure 89,Asphalt 88,Road surface 88,Biome 85,Font 84,Urban design 84
long 16.9961100947368 lat 46.4495722736842 viewpoint 270 degrees.jpeg,Plant 96,Tree 90,Natural landscape 88,Vegetation 85,Biome 84,Font 80,Terrestrial plant 80,Adaptation 79,Landscape 77,Forest 77
long 16.9961100947368 lat 46.4495722736842 viewpoint 90 degrees.jpeg,Plant 96,Photograph 94,Nature 90,Tree 88,Lighting 87,Font 84,Urban design 84,Biome 84,Grass 84,Software 82
long 16.9961108272727 lat 46.4483936818182 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 91,Nature 90,Branch 87,Natural landscape 87,Vegetation 85,Biome 84,Woody plant 81,Screenshot 81
long 16.9961108272727 lat 46.4483936818182 viewpoint 180 degrees.jpeg,Property 94,Building 94,Nature 90,Window 89,Tree 88,Lighting 86,House 85,Biome 85,Plant 84,Sky 84
long 16.9961108272727 lat 46.4483936818182 viewpoint 270 degrees.jpeg,Plant 93,Road surface 90,Asphalt 89,Infrastructure 89,Tree 88,Sky 88,Thoroughfare 84,Biome 83,Line 82,Natural landscape 82
long 16.9961108272727 lat 46.4483936818182 viewpoint 90 degrees.jpeg,Plant 91,Road surface 90,Infrastructure 90,Asphalt 89,Tree 88,Natural landscape 86,Biome 84,Urban design 83,Line 83,Font 82
long 16.99611204 lat 46.4483911 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 91,Nature 90,Branch 87,Natural landscape 87,Vegetation 85,Biome 84,Woody plant 81,Screenshot 81
long 16.99611204 lat 46.4483911 viewpoint 180 degrees.jpeg,Property 94,Building 94,Nature 90,Window 89,Tree 88,Lighting 86,House 85,Biome 85,Plant 84,Sky 84
long 16.99611204 lat 46.4483911 viewpoint 270 degrees.jpeg,Plant 93,Road surface 90,Asphalt 89,Infrastructure 89,Tree 88,Sky 88,Thoroughfare 84,Biome 83,Line 82,Natural landscape 82
long 16.99611204 lat 46.4483911 viewpoint 90 degrees.jpeg,Plant 91,Road surface 90,Infrastructure 90,Asphalt 89,Tree 88,Natural landscape 86,Biome 84,Urban design 83,Line 83,Font 82
long 16.9961127407407 lat 46.4490772716049 viewpoint 0 degrees.jpeg,Plant 96,Tree 89,Infrastructure 89,Urban design 85,Asphalt 84,Natural landscape 84,Biome 84,Road 82,Line 82,Font 81
long 16.9961127407407 lat 46.4490772716049 viewpoint 180 degrees.jpeg,Plant 96,Nature 90,Infrastructure 89,Road surface 88,Tree 88,Asphalt 88,Natural landscape 87,Biome 84,Urban design 84,Thoroughfare 83
long 16.9961127407407 lat 46.4490772716049 viewpoint 270 degrees.jpeg,Plant 96,Ecoregion 93,Tree 89,Natural environment 89,Natural landscape 89,Vegetation 85,Terrestrial plant 84,Grass 84,Font 84,Biome 84
long 16.9961127407407 lat 46.4490772716049 viewpoint 90 degrees.jpeg,Plant 94,Ecoregion 92,Nature 90,Cloud 90,Natural landscape 86,Tree 86,Biome 84,Urban design 82,Screenshot 81,Grass 81
long 16.9961128888889 lat 46.4496565925926 viewpoint 0 degrees.jpeg,Plant 96,Photograph 94,Nature 90,Tree 90,Yellow 85,Urban design 85,Biome 85,Asphalt 84,Screenshot 83,Cloud 82
long 16.9961128888889 lat 46.4496565925926 viewpoint 180 degrees.jpeg,Plant 94,Sky 91,Infrastructure 90,Road surface 89,Tree 89,Asphalt 88,Thoroughfare 87,Yellow 85,Biome 83,Natural landscape 83
long 16.9961128888889 lat 46.4496565925926 viewpoint 270 degrees.jpeg,Plant 95,Ecoregion 93,Natural landscape 90,Nature 90,World 89,Natural environment 89,Tree 88,Vegetation 86,Land lot 85,Biome 84
long 16.9961128888889 lat 46.4496565925926 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Nature 90,Natural environment 89,World 88,Tree 88,Vegetation 86,Biome 84,Screenshot 84,Urban design 83
long 16.9961135222222 lat 46.4483879444444 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 91,Nature 90,Branch 87,Natural landscape 87,Vegetation 85,Biome 84,Woody plant 81,Screenshot 81
long 16.9961135222222 lat 46.4483879444444 viewpoint 180 degrees.jpeg,Property 94,Building 94,Nature 90,Window 89,Tree 88,Lighting 86,House 85,Biome 85,Plant 84,Sky 84
long 16.9961135222222 lat 46.4483879444444 viewpoint 270 degrees.jpeg,Plant 93,Road surface 90,Asphalt 89,Infrastructure 89,Tree 88,Sky 88,Thoroughfare 84,Biome 83,Line 82,Natural landscape 82
long 16.9961135222222 lat 46.4483879444444 viewpoint 90 degrees.jpeg,Plant 91,Road surface 90,Infrastructure 90,Asphalt 89,Tree 88,Natural landscape 86,Biome 84,Urban design 83,Line 83,Font 82
long 16.996115375 lat 46.448384 viewpoint 0 degrees.jpeg,Plant 96,Tree 91,Nature 90,Natural environment 89,Branch 88,Natural landscape 87,Biome 84,Grass 82,Woody plant 81,Screenshot 80
long 16.996115375 lat 46.448384 viewpoint 180 degrees.jpeg,Building 95,Property 94,Tree 89,Window 88,House 86,Plant 86,Biome 85,Sky 84,Neighbourhood 82,Residential area 81
long 16.996115375 lat 46.448384 viewpoint 270 degrees.jpeg,Plant 92,Road surface 89,Tree 88,Asphalt 88,Sky 88,Thoroughfare 84,Biome 83,Natural landscape 81,Screenshot 81,Woody plant 80
long 16.996115375 lat 46.448384 viewpoint 90 degrees.jpeg,Road surface 90,Plant 90,Infrastructure 89,Asphalt 88,Tree 87,Natural landscape 87,Biome 84,Urban design 83,Font 83,Line 82
long 16.9961161794872 lat 46.4496682564103 viewpoint 0 degrees.jpeg,Plant 96,Photograph 94,Nature 90,Tree 90,Yellow 85,Urban design 85,Biome 85,Asphalt 84,Screenshot 83,Cloud 82
long 16.9961161794872 lat 46.4496682564103 viewpoint 180 degrees.jpeg,Plant 94,Sky 91,Infrastructure 90,Road surface 89,Tree 89,Asphalt 88,Thoroughfare 87,Yellow 85,Biome 83,Natural landscape 83
long 16.9961161794872 lat 46.4496682564103 viewpoint 270 degrees.jpeg,Plant 95,Ecoregion 93,Natural landscape 90,Nature 90,World 89,Natural environment 89,Tree 88,Vegetation 86,Land lot 85,Biome 84
long 16.9961161794872 lat 46.4496682564103 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Nature 90,Natural environment 89,World 88,Tree 88,Vegetation 86,Biome 84,Screenshot 84,Urban design 83
long 16.9961170666667 lat 46.4489121777778 viewpoint 0 degrees.jpeg,Plant 97,Tree 90,Infrastructure 89,Road surface 88,Asphalt 87,Urban design 84,Biome 83,Thoroughfare 82,Line 82,Woody plant 81
long 16.9961170666667 lat 46.4489121777778 viewpoint 180 degrees.jpeg,Plant 93,Sky 90,Nature 90,Tree 89,Asphalt 88,Road surface 88,Natural landscape 85,Biome 84,Font 84,Screenshot 83
long 16.9961170666667 lat 46.4489121777778 viewpoint 270 degrees.jpeg,Plant 97,Green 90,Nature 90,Natural landscape 89,Tree 88,Terrestrial plant 86,Vegetation 85,Land lot 85,Biome 83,Font 82
long 16.9961170666667 lat 46.4489121777778 viewpoint 90 degrees.jpeg,Plant 95,Tree 86,Biome 83,Screenshot 83,Terrestrial plant 82,Grass 79,Font 79,Landscape 77,Software 77,Lawn 74
long 16.9961170888889 lat 46.4491417481482 viewpoint 0 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 91,Nature 90,Tree 90,Road surface 88,Asphalt 88,Natural landscape 86,Thoroughfare 85,Yellow 84
long 16.9961170888889 lat 46.4491417481482 viewpoint 180 degrees.jpeg,Plant 95,Photograph 94,Nature 90,Tree 88,Asphalt 88,Road surface 86,Sky 86,Yellow 85,Natural landscape 85,Biome 84
long 16.9961170888889 lat 46.4491417481482 viewpoint 270 degrees.jpeg,Plant 96,Tree 90,Natural landscape 89,Branch 87,Vegetation 86,Terrestrial plant 85,Biome 84,Font 83,Landscape 81,Grass 81
long 16.9961170888889 lat 46.4491417481482 viewpoint 90 degrees.jpeg,Plant 92,World 89,Tree 89,Biome 84,Screenshot 82,Natural landscape 81,Font 81,Woody plant 80,Grass 78,Urban design 78
long 16.9961220714286 lat 46.4496577142857 viewpoint 0 degrees.jpeg,Plant 96,Photograph 94,Nature 90,Tree 90,Yellow 85,Urban design 85,Biome 85,Asphalt 84,Screenshot 83,Cloud 82
long 16.9961220714286 lat 46.4496577142857 viewpoint 180 degrees.jpeg,Plant 94,Sky 91,Infrastructure 90,Road surface 89,Tree 89,Asphalt 88,Thoroughfare 87,Yellow 85,Biome 83,Natural landscape 83
long 16.9961220714286 lat 46.4496577142857 viewpoint 270 degrees.jpeg,Plant 95,Ecoregion 93,Natural landscape 90,Nature 90,World 89,Natural environment 89,Tree 88,Vegetation 86,Land lot 85,Biome 84
long 16.9961220714286 lat 46.4496577142857 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Nature 90,Natural environment 89,World 88,Tree 88,Vegetation 86,Biome 84,Screenshot 84,Urban design 83
long 16.9961221333333 lat 46.4496012 viewpoint 0 degrees.jpeg,Plant 95,Photograph 94,Nature 90,Tree 89,Cloud 86,Asphalt 85,Urban design 85,Biome 84,Road surface 83,Screenshot 83
long 16.9961221333333 lat 46.4496012 viewpoint 180 degrees.jpeg,Plant 93,Infrastructure 90,Nature 90,Road surface 89,Sky 89,Tree 89,Asphalt 89,Thoroughfare 87,Yellow 85,Natural landscape 84
long 16.9961221333333 lat 46.4496012 viewpoint 270 degrees.jpeg,Plant 96,Ecoregion 92,Natural landscape 90,Nature 90,Natural environment 89,Tree 88,Land lot 85,Vegetation 85,Biome 84,Grass 83
long 16.9961221333333 lat 46.4496012 viewpoint 90 degrees.jpeg,Plant 96,Photograph 94,Nature 90,Natural environment 89,World 88,Tree 88,Vegetation 86,Biome 84,Screenshot 84,Urban design 83
long 16.9961225142857 lat 46.4486844 viewpoint 0 degrees.jpeg,Plant 96,Tree 90,Infrastructure 89,Road surface 89,Asphalt 88,Natural landscape 86,Urban design 85,Biome 83,Font 83,Thoroughfare 82
long 16.9961225142857 lat 46.4486844 viewpoint 180 degrees.jpeg,Plant 90,Sky 89,Tree 87,Asphalt 86,Road surface 86,Biome 83,Natural landscape 82,Urban design 81,Font 81,Screenshot 81
long 16.9961225142857 lat 46.4486844 viewpoint 270 degrees.jpeg,Plant 97,Green 92,Tree 90,Natural landscape 87,Vegetation 85,Terrestrial plant 84,Biome 83,Font 81,Screenshot 80,Woody plant 80
long 16.9961225142857 lat 46.4486844 viewpoint 90 degrees.jpeg,Plant 93,Cloud 92,Nature 90,Natural landscape 87,Tree 86,Vegetation 85,Biome 83,Font 82,Grass 82,Screenshot 82
long 16.9961234684211 lat 46.4495493947368 viewpoint 0 degrees.jpeg,Plant 95,Sky 91,Tree 89,Asphalt 88,Cloud 85,Road surface 84,Urban design 83,Graphics software 83,Biome 82,Screenshot 82
long 16.9961234684211 lat 46.4495493947368 viewpoint 180 degrees.jpeg,Plant 96,Sky 93,Nature 90,Tree 90,Asphalt 89,Road surface 88,Urban design 85,Biome 84,Font 84,Screenshot 82
long 16.9961234684211 lat 46.4495493947368 viewpoint 270 degrees.jpeg,Plant 96,Nature 90,Tree 90,Natural landscape 87,Vegetation 85,Biome 84,Font 83,Woody plant 81,Terrestrial plant 80,Landscape 78
long 16.9961234684211 lat 46.4495493947368 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Nature 90,Tree 88,Font 85,Urban design 85,Land lot 84,Grass 84,Biome 83,Screenshot 82
long 16.9961242564103 lat 46.4484677948718 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 91,Nature 90,Natural environment 89,Branch 87,Natural landscape 87,Vegetation 85,Biome 84,Woody plant 81
long 16.9961242564103 lat 46.4484677948718 viewpoint 180 degrees.jpeg,Property 94,Building 94,Nature 90,Window 89,Tree 88,Lighting 86,House 85,Biome 85,Plant 84,Sky 84
long 16.9961242564103 lat 46.4484677948718 viewpoint 270 degrees.jpeg,Plant 93,Road surface 90,Asphalt 89,Infrastructure 89,Tree 88,Sky 88,Thoroughfare 84,Natural landscape 84,Biome 83,Line 82
long 16.9961242564103 lat 46.4484677948718 viewpoint 90 degrees.jpeg,Plant 91,Road surface 90,Infrastructure 90,Asphalt 89,Tree 88,Natural landscape 86,Biome 84,Urban design 83,Line 83,Font 82
long 16.9961246 lat 46.4495346666667 viewpoint 0 degrees.jpeg,Plant 95,Sky 91,Tree 89,Asphalt 88,Cloud 85,Road surface 84,Urban design 83,Graphics software 83,Biome 82,Screenshot 82
long 16.9961246 lat 46.4495346666667 viewpoint 180 degrees.jpeg,Plant 96,Sky 93,Nature 90,Tree 90,Asphalt 89,Road surface 88,Urban design 85,Biome 84,Font 84,Screenshot 82
long 16.9961246 lat 46.4495346666667 viewpoint 270 degrees.jpeg,Plant 96,Nature 90,Tree 90,Natural landscape 87,Vegetation 85,Biome 84,Font 83,Woody plant 81,Terrestrial plant 80,Landscape 78
long 16.9961246 lat 46.4495346666667 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Nature 90,Tree 88,Font 85,Urban design 85,Land lot 84,Grass 84,Biome 83,Screenshot 82
long 16.9961247063492 lat 46.4484573492064 viewpoint 0 degrees.jpeg,Plant 96,Tree 91,Nature 90,Natural environment 89,Branch 88,Natural landscape 87,Biome 84,Grass 82,Woody plant 81,Screenshot 80
long 16.9961247063492 lat 46.4484573492064 viewpoint 180 degrees.jpeg,Building 95,Property 94,Tree 89,Window 88,House 86,Plant 86,Biome 85,Sky 84,Neighbourhood 82,Residential area 81
long 16.9961247063492 lat 46.4484573492064 viewpoint 270 degrees.jpeg,Plant 92,Road surface 89,Tree 88,Asphalt 88,Sky 88,Thoroughfare 84,Biome 83,Natural landscape 81,Screenshot 81,Woody plant 80
long 16.9961247063492 lat 46.4484573492064 viewpoint 90 degrees.jpeg,Road surface 90,Plant 90,Infrastructure 89,Asphalt 88,Tree 87,Natural landscape 87,Biome 84,Urban design 83,Font 83,Line 82
long 16.9961254848485 lat 46.4491329292929 viewpoint 0 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 91,Nature 90,Tree 90,Road surface 88,Asphalt 88,Natural landscape 86,Thoroughfare 85,Yellow 84
long 16.9961254848485 lat 46.4491329292929 viewpoint 180 degrees.jpeg,Plant 95,Photograph 94,Nature 90,Tree 88,Asphalt 88,Road surface 86,Sky 86,Yellow 85,Natural landscape 85,Biome 84
long 16.9961254848485 lat 46.4491329292929 viewpoint 270 degrees.jpeg,Plant 96,Tree 90,Natural landscape 89,Branch 87,Vegetation 86,Terrestrial plant 85,Biome 84,Font 83,Landscape 81,Grass 81
long 16.9961254848485 lat 46.4491329292929 viewpoint 90 degrees.jpeg,Plant 92,World 89,Tree 89,Biome 84,Screenshot 82,Natural landscape 81,Font 81,Woody plant 80,Grass 78,Urban design 78
long 16.9961258647059 lat 46.4495182058824 viewpoint 0 degrees.jpeg,Plant 95,Sky 91,Tree 89,Asphalt 88,Cloud 85,Road surface 84,Urban design 83,Graphics software 83,Biome 82,Screenshot 82
long 16.9961258647059 lat 46.4495182058824 viewpoint 180 degrees.jpeg,Plant 96,Sky 93,Nature 90,Tree 90,Asphalt 89,Road surface 88,Urban design 85,Biome 84,Font 84,Screenshot 82
long 16.9961258647059 lat 46.4495182058824 viewpoint 270 degrees.jpeg,Plant 96,Nature 90,Tree 90,Natural landscape 87,Vegetation 85,Biome 84,Font 83,Woody plant 81,Terrestrial plant 80,Landscape 78
long 16.9961258647059 lat 46.4495182058824 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Nature 90,Tree 88,Font 85,Urban design 85,Land lot 84,Grass 84,Biome 83,Screenshot 82
long 16.996130475 lat 46.4489136 viewpoint 0 degrees.jpeg,Plant 97,Tree 90,Infrastructure 89,Road surface 88,Asphalt 87,Urban design 84,Biome 83,Thoroughfare 82,Line 82,Woody plant 81
long 16.996130475 lat 46.4489136 viewpoint 180 degrees.jpeg,Plant 93,Sky 90,Nature 90,Tree 89,Asphalt 88,Road surface 88,Natural landscape 85,Biome 84,Font 84,Screenshot 83
long 16.996130475 lat 46.4489136 viewpoint 270 degrees.jpeg,Plant 97,Green 90,Nature 90,Natural landscape 89,Tree 88,Terrestrial plant 86,Vegetation 85,Land lot 85,Biome 83,Font 82
long 16.996130475 lat 46.4489136 viewpoint 90 degrees.jpeg,Plant 95,Tree 86,Biome 83,Screenshot 83,Terrestrial plant 82,Grass 79,Font 79,Landscape 77,Software 77,Lawn 74
long 16.99613425 lat 46.449046 viewpoint 0 degrees.jpeg,Plant 96,Tree 89,Infrastructure 89,Urban design 85,Asphalt 84,Natural landscape 84,Biome 84,Road 82,Line 82,Font 81
long 16.99613425 lat 46.449046 viewpoint 180 degrees.jpeg,Plant 96,Nature 90,Infrastructure 89,Road surface 88,Tree 88,Asphalt 88,Natural landscape 87,Biome 84,Urban design 84,Thoroughfare 83
long 16.99613425 lat 46.449046 viewpoint 270 degrees.jpeg,Plant 96,Ecoregion 93,Tree 89,Natural environment 89,Natural landscape 89,Vegetation 85,Terrestrial plant 84,Grass 84,Font 84,Biome 84
long 16.99613425 lat 46.449046 viewpoint 90 degrees.jpeg,Plant 94,Ecoregion 92,Nature 90,Cloud 90,Natural landscape 86,Tree 86,Biome 84,Urban design 82,Screenshot 81,Grass 81
long 16.9961402136752 lat 46.4484725982906 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 91,Nature 90,Branch 87,Natural landscape 87,Vegetation 85,Biome 84,Woody plant 81,Screenshot 81
long 16.9961402136752 lat 46.4484725982906 viewpoint 180 degrees.jpeg,Property 94,Building 94,Nature 90,Window 89,Tree 88,Lighting 86,House 85,Biome 85,Plant 84,Sky 84
long 16.9961402136752 lat 46.4484725982906 viewpoint 270 degrees.jpeg,Plant 93,Road surface 90,Asphalt 89,Infrastructure 89,Tree 88,Sky 88,Thoroughfare 84,Biome 83,Line 82,Natural landscape 82
