long 16.989691 lat 46.471266 viewpoint 0 degrees.jpeg,Automotive parking light 98,Tire 97,Car 97,Land vehicle 96,Wheel 96,Vehicle 96,Automotive lighting 92,Sky 91,Motor vehicle 91,Automotive design 89
long 16.9907126652174 lat 46.4689850869565 viewpoint 270 degrees.jpeg,Plant 96,Tree 89,Asphalt 86,Motor vehicle 86,Biome 84,Thoroughfare 83,Road surface 83,Automotive mirror 83,Screenshot 82,Woody plant 81
long 16.9907126652174 lat 46.4689850869565 viewpoint 90 degrees.jpeg,Plant 96,Cloud 94,Nature 90,Sky 90,Street light 90,Infrastructure 89,Tree 89,Asphalt 88,Road surface 86,Natural landscape 86
long 16.9907131282609 lat 46.4691578043478 viewpoint 0 degrees.jpeg,Property 94,Building 93,Plant 90,Nature 90,Tree 87,Land lot 85,Biome 83,Fence 82,Line 82,Font 79
long 16.9907131282609 lat 46.4691578043478 viewpoint 180 degrees.jpeg,Tire 96,Wheel 94,Plant 93,Tree 89,Asphalt 87,Car 86,Road surface 84,Vehicle 82,Screenshot 81,Woody plant 81
long 16.9907131282609 lat 46.4691578043478 viewpoint 270 degrees.jpeg,Plant 96,Tree 89,Asphalt 86,Motor vehicle 86,Biome 84,Thoroughfare 83,Road surface 83,Automotive mirror 83,Screenshot 82,Woody plant 81
long 16.9907131282609 lat 46.4691578043478 viewpoint 90 degrees.jpeg,Plant 96,Cloud 94,Nature 90,Sky 90,Street light 90,Infrastructure 89,Tree 89,Asphalt 88,Road surface 86,Natural landscape 86
long 16.9907143975155 lat 46.469004621118 viewpoint 0 degrees.jpeg,Property 94,Building 93,Plant 90,Nature 90,Tree 87,Land lot 85,Biome 83,Fence 82,Line 82,Font 79
long 16.9907143975155 lat 46.469004621118 viewpoint 180 degrees.jpeg,Tire 96,Wheel 94,Plant 93,Tree 89,Asphalt 87,Car 86,Road surface 84,Vehicle 82,Screenshot 81,Woody plant 81
long 16.9907143975155 lat 46.469004621118 viewpoint 270 degrees.jpeg,Plant 96,Tree 89,Asphalt 86,Motor vehicle 86,Biome 84,Thoroughfare 83,Road surface 83,Automotive mirror 83,Screenshot 82,Woody plant 81
long 16.9907143975155 lat 46.469004621118 viewpoint 90 degrees.jpeg,Plant 96,Cloud 94,Nature 90,Sky 90,Street light 90,Infrastructure 89,Tree 89,Asphalt 88,Road surface 86,Natural landscape 86
long 16.990716804 lat 46.4686246 viewpoint 0 degrees.jpeg,Plant 93,Cloud 91,Nature 90,Infrastructure 89,Tree 88,Asphalt 88,Sky 88,Road surface 86,Thoroughfare 83,Font 83
long 16.990716804 lat 46.4686246 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,Photograph 94,Plant 92,Tree 90,Infrastructure 90,Asphalt 88,Road surface 88,Mode of transport 86,Thoroughfare 84
long 16.990716804 lat 46.4686246 viewpoint 270 degrees.jpeg,Car 97,Plant 96,Tire 94,Wheel 94,Vehicle 91,Motor vehicle 90,Nature 90,Infrastructure 89,Tree 89,Automotive mirror 88
long 16.990716804 lat 46.4686246 viewpoint 90 degrees.jpeg,Window 94,Building 92,Tree 88,House 84,Door 81,Cottage 77,Facade 77,Roof 76,Font 74,Automotive exterior 71
long 16.9907177071429 lat 46.4681274142857 viewpoint 0 degrees.jpeg,Sky 94,Cloud 93,Light 91,Tree 90,Infrastructure 90,Car 90,Asphalt 89,Road surface 87,Automotive mirror 86,Mode of transport 85
long 16.9907177071429 lat 46.4681274142857 viewpoint 180 degrees.jpeg,Cloud 96,Sky 92,Motor vehicle 91,Infrastructure 90,Plant 90,Tree 89,Road surface 89,Asphalt 88,Car 86,Automotive tire 86
long 16.9907177071429 lat 46.4681274142857 viewpoint 270 degrees.jpeg,Wheel 97,Tire 96,Car 95,Plant 94,Motor vehicle 92,Vehicle 92,Tree 89,Asphalt 86,Mode of transport 86,Biome 83
long 16.9907177071429 lat 46.4681274142857 viewpoint 90 degrees.jpeg,Tire 97,Wheel 97,Car 97,Plant 96,Vehicle 92,Motor vehicle 92,Tree 90,Infrastructure 89,Road surface 89,Automotive mirror 89
long 16.990719961039 lat 46.4682999220779 viewpoint 0 degrees.jpeg,Cloud 94,Sky 94,Light 91,Infrastructure 90,Road surface 89,Asphalt 89,Tree 87,Mode of transport 85,Thoroughfare 85,Motor vehicle 84
long 16.990719961039 lat 46.4682999220779 viewpoint 180 degrees.jpeg,Sky 94,Cloud 93,Tree 90,Motor vehicle 88,Road surface 87,Asphalt 87,Plant 87,Mode of transport 85,Font 83,Automotive tire 82
long 16.990719961039 lat 46.4682999220779 viewpoint 90 degrees.jpeg,Plant 96,Car 96,Wheel 96,Cloud 95,Tire 94,Motor vehicle 93,Sky 92,Vehicle 91,Nature 90,Tree 89
long 16.9907200062112 lat 46.4684648819876 viewpoint 0 degrees.jpeg,Cloud 95,Photograph 94,Sky 92,Infrastructure 90,Road surface 89,Asphalt 89,Tree 88,Mode of transport 86,Thoroughfare 85,Screenshot 83
long 16.9907200062112 lat 46.4684648819876 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Tire 93,Wheel 92,Infrastructure 90,Road surface 89,Plant 89,Tree 88,Asphalt 88
long 16.9907200062112 lat 46.4684648819876 viewpoint 90 degrees.jpeg,Plant 92,Tree 89,Shade 88,Asphalt 87,Road surface 84,Urban design 82,Tire 81,Motor vehicle 78,Gas 77,Wheel 77
long 16.9907225340909 lat 46.4688506590909 viewpoint 0 degrees.jpeg,Plant 93,Tree 89,Sky 88,Asphalt 87,Land lot 85,Cloud 84,Font 83,Line 82,Screenshot 81,Street light 79
long 16.9907225340909 lat 46.4688506590909 viewpoint 180 degrees.jpeg,Cloud 95,Tire 94,Sky 93,Wheel 89,Tree 89,Road surface 89,Asphalt 87,Thoroughfare 85,Mode of transport 85,Land lot 84
long 16.9907225340909 lat 46.4688506590909 viewpoint 270 degrees.jpeg,Plant 96,Tree 90,Mode of transport 85,Wheel 85,Car 85,Biome 84,Asphalt 84,Screenshot 81,Public space 81,Urban design 81
long 16.9907225340909 lat 46.4688506590909 viewpoint 90 degrees.jpeg,Plant 97,Tree 90,Nature 90,Natural environment 89,Land lot 86,Vegetation 85,Asphalt 85,Biome 84,Screenshot 82,Grass 82
long 16.9907226645963 lat 46.4688298509317 viewpoint 0 degrees.jpeg,Plant 93,Tree 89,Sky 88,Asphalt 87,Land lot 85,Cloud 84,Font 83,Line 82,Screenshot 81,Street light 79
long 16.9907226645963 lat 46.4688298509317 viewpoint 180 degrees.jpeg,Cloud 95,Tire 94,Sky 93,Wheel 89,Tree 89,Road surface 89,Asphalt 87,Thoroughfare 85,Mode of transport 85,Land lot 84
long 16.9907226645963 lat 46.4688298509317 viewpoint 270 degrees.jpeg,Plant 96,Tree 90,Mode of transport 85,Wheel 85,Car 85,Biome 84,Asphalt 84,Screenshot 81,Public space 81,Urban design 81
long 16.9907226645963 lat 46.4688298509317 viewpoint 90 degrees.jpeg,Plant 97,Tree 90,Nature 90,Natural environment 89,Land lot 86,Vegetation 85,Asphalt 85,Biome 84,Screenshot 82,Grass 82
long 16.9907269183673 lat 46.4681248843537 viewpoint 0 degrees.jpeg,Photograph 94,Sky 94,Cloud 93,Light 91,Tree 90,Infrastructure 90,Car 89,Asphalt 89,Road surface 87,Automotive mirror 85
long 16.9907269183673 lat 46.4681248843537 viewpoint 180 degrees.jpeg,Cloud 96,Sky 92,Motor vehicle 91,Infrastructure 90,Plant 90,Tree 89,Road surface 89,Asphalt 88,Car 86,Automotive tire 86
long 16.9907269183673 lat 46.4681248843537 viewpoint 270 degrees.jpeg,Wheel 97,Tire 96,Car 95,Plant 94,Motor vehicle 92,Vehicle 92,Tree 89,Asphalt 86,Mode of transport 86,Biome 83
long 16.9907269183673 lat 46.4681248843537 viewpoint 90 degrees.jpeg,Tire 97,Wheel 97,Car 97,Plant 96,Vehicle 92,Motor vehicle 92,Tree 90,Infrastructure 89,Road surface 89,Automotive mirror 89
long 16.990730931677 lat 46.4686550807453 viewpoint 0 degrees.jpeg,Plant 93,Cloud 91,Nature 90,Infrastructure 89,Tree 88,Asphalt 88,Sky 88,Road surface 86,Thoroughfare 83,Font 83
long 16.990730931677 lat 46.4686550807453 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,Photograph 94,Plant 92,Tree 90,Infrastructure 90,Asphalt 88,Road surface 88,Mode of transport 86,Thoroughfare 84
long 16.990730931677 lat 46.4686550807453 viewpoint 270 degrees.jpeg,Car 97,Plant 96,Tire 94,Wheel 94,Vehicle 91,Motor vehicle 90,Nature 90,Infrastructure 89,Tree 89,Automotive mirror 88
long 16.990730931677 lat 46.4686550807453 viewpoint 90 degrees.jpeg,Window 94,Building 91,Tree 89,House 84,Door 82,Cottage 78,Facade 78,Roof 76,Font 74,Siding 71
long 16.9907312857143 lat 46.4687398571429 viewpoint 0 degrees.jpeg,Plant 93,Tree 89,Sky 88,Asphalt 87,Land lot 85,Cloud 84,Font 83,Line 82,Screenshot 81,Street light 79
long 16.9907312857143 lat 46.4687398571429 viewpoint 180 degrees.jpeg,Cloud 95,Tire 94,Sky 93,Wheel 89,Tree 89,Road surface 89,Asphalt 87,Thoroughfare 85,Mode of transport 85,Land lot 84
long 16.9907312857143 lat 46.4687398571429 viewpoint 270 degrees.jpeg,Plant 96,Tree 90,Mode of transport 85,Wheel 85,Car 85,Biome 84,Asphalt 84,Screenshot 81,Public space 81,Urban design 81
long 16.9907312857143 lat 46.4687398571429 viewpoint 90 degrees.jpeg,Plant 97,Tree 90,Nature 90,Natural environment 89,Land lot 86,Vegetation 85,Asphalt 85,Biome 84,Screenshot 82,Grass 82
long 16.9907346708075 lat 46.4682952546584 viewpoint 0 degrees.jpeg,Cloud 94,Sky 94,Light 91,Infrastructure 90,Road surface 89,Asphalt 89,Tree 87,Mode of transport 85,Thoroughfare 85,Motor vehicle 84
long 16.9907346708075 lat 46.4682952546584 viewpoint 180 degrees.jpeg,Sky 94,Cloud 93,Tree 90,Motor vehicle 88,Road surface 87,Asphalt 87,Plant 87,Mode of transport 85,Font 83,Automotive tire 82
long 16.9907346708075 lat 46.4682952546584 viewpoint 270 degrees.jpeg,Car 97,Wheel 97,Land vehicle 96,Tire 96,Plant 95,Vehicle 94,Motor vehicle 91,Tree 89,Street light 88,Asphalt 87
long 16.9907346708075 lat 46.4682952546584 viewpoint 90 degrees.jpeg,Plant 96,Car 96,Wheel 96,Cloud 95,Tire 94,Motor vehicle 93,Sky 92,Vehicle 91,Nature 90,Tree 89
long 16.9907352922078 lat 46.4681225844156 viewpoint 0 degrees.jpeg,Cloud 96,Sky 95,Plant 92,Light 91,Infrastructure 90,Tree 90,Nature 90,Asphalt 89,Road surface 89,Motor vehicle 86
long 16.9907352922078 lat 46.4681225844156 viewpoint 180 degrees.jpeg,Cloud 97,Sky 94,Car 94,Wheel 94,Plant 93,Tire 90,Tree 89,Motor vehicle 89,Road surface 89,Asphalt 88
long 16.9907352922078 lat 46.4681225844156 viewpoint 270 degrees.jpeg,Tire 97,Wheel 97,Car 96,Plant 95,Sky 94,Vehicle 94,Motor vehicle 93,Cloud 92,Natural environment 89,Tree 89
long 16.9907352922078 lat 46.4681225844156 viewpoint 90 degrees.jpeg,Car 96,Plant 96,Tire 95,Wheel 93,Ecoregion 92,Motor vehicle 91,Vehicle 91,Tree 88,Asphalt 87,Mode of transport 86
long 16.9907371826923 lat 46.4682901730769 viewpoint 0 degrees.jpeg,Cloud 94,Sky 94,Light 91,Infrastructure 90,Road surface 89,Asphalt 89,Tree 87,Mode of transport 85,Thoroughfare 85,Motor vehicle 84
long 16.9907371826923 lat 46.4682901730769 viewpoint 180 degrees.jpeg,Sky 94,Cloud 93,Tree 90,Motor vehicle 88,Road surface 87,Asphalt 87,Plant 87,Mode of transport 85,Font 83,Automotive tire 82
long 16.9907371826923 lat 46.4682901730769 viewpoint 270 degrees.jpeg,Car 97,Wheel 97,Land vehicle 96,Tire 96,Plant 95,Vehicle 94,Motor vehicle 91,Tree 89,Street light 88,Asphalt 87
long 16.9907371826923 lat 46.4682901730769 viewpoint 90 degrees.jpeg,Plant 96,Car 96,Cloud 95,Wheel 95,Tire 94,Motor vehicle 93,Sky 92,Vehicle 91,Nature 90,Tree 89
long 16.9907372083333 lat 46.46912825 viewpoint 0 degrees.jpeg,Property 94,Building 93,Plant 90,Nature 90,Tree 87,Land lot 85,Biome 83,Fence 82,Line 82,Font 79
long 16.9907372083333 lat 46.46912825 viewpoint 180 degrees.jpeg,Tire 96,Wheel 94,Plant 93,Tree 89,Asphalt 87,Car 86,Road surface 84,Vehicle 82,Screenshot 81,Woody plant 81
long 16.9907372083333 lat 46.46912825 viewpoint 270 degrees.jpeg,Plant 96,Tree 89,Asphalt 86,Motor vehicle 86,Biome 84,Thoroughfare 83,Road surface 83,Automotive mirror 83,Screenshot 82,Woody plant 81
long 16.9907372083333 lat 46.46912825 viewpoint 90 degrees.jpeg,Plant 96,Cloud 94,Nature 90,Sky 90,Street light 90,Infrastructure 89,Tree 89,Asphalt 88,Road surface 86,Natural landscape 86
long 16.9907391987578 lat 46.468480310559 viewpoint 0 degrees.jpeg,Cloud 95,Photograph 94,Sky 92,Infrastructure 90,Road surface 89,Asphalt 89,Tree 88,Mode of transport 86,Thoroughfare 85,Screenshot 83
long 16.9907391987578 lat 46.468480310559 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Tire 93,Wheel 92,Infrastructure 90,Road surface 89,Plant 89,Tree 88,Asphalt 88
long 16.9907391987578 lat 46.468480310559 viewpoint 270 degrees.jpeg,Wheel 97,Tire 95,Car 95,Motor vehicle 94,Plant 94,Vehicle 93,Infrastructure 90,Street light 90,Tree 89,Asphalt 89
long 16.9907391987578 lat 46.468480310559 viewpoint 90 degrees.jpeg,Plant 91,Tree 89,Shade 88,Asphalt 87,Road surface 83,Urban design 82,Tire 78,Motor vehicle 77,Gas 77,Road 77
long 16.9907419805195 lat 46.468127961039 viewpoint 0 degrees.jpeg,Sky 94,Cloud 93,Light 91,Tree 90,Infrastructure 90,Car 90,Asphalt 89,Road surface 87,Automotive mirror 86,Mode of transport 85
long 16.9907419805195 lat 46.468127961039 viewpoint 180 degrees.jpeg,Cloud 96,Sky 92,Motor vehicle 91,Infrastructure 90,Plant 90,Tree 89,Road surface 89,Asphalt 88,Car 86,Automotive tire 86
long 16.9907419805195 lat 46.468127961039 viewpoint 270 degrees.jpeg,Wheel 97,Tire 96,Car 95,Plant 94,Motor vehicle 92,Vehicle 92,Tree 89,Asphalt 86,Mode of transport 86,Biome 83
long 16.9907419805195 lat 46.468127961039 viewpoint 90 degrees.jpeg,Tire 97,Wheel 97,Car 97,Plant 96,Vehicle 92,Motor vehicle 92,Tree 90,Road surface 89,Infrastructure 89,Automotive mirror 89
long 16.9907463684211 lat 46.4686142526316 viewpoint 0 degrees.jpeg,Plant 93,Cloud 91,Nature 90,Infrastructure 89,Tree 88,Asphalt 88,Sky 88,Road surface 86,Thoroughfare 83,Font 83
long 16.9907463684211 lat 46.4686142526316 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,Photograph 94,Plant 92,Tree 90,Infrastructure 90,Asphalt 88,Road surface 88,Mode of transport 86,Thoroughfare 84
long 16.9907463684211 lat 46.4686142526316 viewpoint 270 degrees.jpeg,Car 97,Plant 96,Tire 94,Wheel 94,Vehicle 91,Motor vehicle 90,Nature 90,Infrastructure 89,Tree 89,Automotive mirror 88
long 16.9907463684211 lat 46.4686142526316 viewpoint 90 degrees.jpeg,Window 94,Building 92,Tree 88,House 84,Door 81,Cottage 77,Facade 77,Roof 76,Font 74,Automotive exterior 71
long 16.990746856 lat 46.4687934 viewpoint 0 degrees.jpeg,Plant 93,Tree 89,Sky 88,Asphalt 87,Cloud 85,Land lot 85,Font 82,Biome 82,Line 82,Screenshot 81
long 16.990746856 lat 46.4687934 viewpoint 180 degrees.jpeg,Cloud 95,Tire 94,Sky 93,Wheel 89,Tree 89,Road surface 89,Asphalt 87,Thoroughfare 85,Mode of transport 85,Land lot 84
long 16.990746856 lat 46.4687934 viewpoint 270 degrees.jpeg,Plant 96,Tree 90,Mode of transport 85,Wheel 85,Car 85,Biome 84,Asphalt 84,Screenshot 81,Public space 81,Urban design 81
long 16.990746856 lat 46.4687934 viewpoint 90 degrees.jpeg,Plant 97,Tree 90,Nature 90,Natural environment 89,Land lot 86,Vegetation 85,Asphalt 85,Biome 84,Screenshot 82,Grass 82
long 16.9907474658385 lat 46.4683055403727 viewpoint 0 degrees.jpeg,Cloud 94,Sky 94,Light 91,Infrastructure 90,Road surface 89,Asphalt 89,Tree 87,Mode of transport 85,Thoroughfare 85,Motor vehicle 84
long 16.9907474658385 lat 46.4683055403727 viewpoint 180 degrees.jpeg,Sky 94,Cloud 93,Tree 90,Motor vehicle 88,Road surface 87,Asphalt 87,Plant 87,Mode of transport 85,Font 83,Automotive tire 82
long 16.9907474658385 lat 46.4683055403727 viewpoint 270 degrees.jpeg,Car 97,Wheel 97,Land vehicle 96,Tire 96,Plant 95,Vehicle 94,Motor vehicle 91,Tree 89,Street light 88,Asphalt 87
long 16.9907474658385 lat 46.4683055403727 viewpoint 90 degrees.jpeg,Plant 96,Car 96,Cloud 95,Wheel 95,Tire 94,Motor vehicle 93,Sky 92,Vehicle 91,Nature 90,Tree 89
long 16.9907493354037 lat 46.4681256273292 viewpoint 0 degrees.jpeg,Photograph 94,Sky 94,Cloud 93,Light 91,Tree 90,Infrastructure 90,Car 89,Asphalt 89,Road surface 87,Automotive mirror 85
long 16.9907493354037 lat 46.4681256273292 viewpoint 180 degrees.jpeg,Cloud 96,Sky 92,Motor vehicle 91,Infrastructure 90,Plant 90,Tree 89,Road surface 89,Asphalt 88,Car 86,Automotive tire 86
long 16.9907493354037 lat 46.4681256273292 viewpoint 270 degrees.jpeg,Wheel 97,Tire 96,Car 95,Plant 94,Motor vehicle 92,Vehicle 92,Tree 89,Asphalt 86,Mode of transport 86,Biome 83
long 16.9907493354037 lat 46.4681256273292 viewpoint 90 degrees.jpeg,Tire 97,Wheel 97,Car 97,Plant 96,Vehicle 92,Motor vehicle 92,Tree 90,Road surface 89,Infrastructure 89,Automotive mirror 89
long 16.9907500483333 lat 46.4685906166667 viewpoint 0 degrees.jpeg,Cloud 96,Sky 96,Photograph 94,Nature 90,Infrastructure 89,Tree 88,Asphalt 88,Road surface 87,Mode of transport 85,Biome 84
long 16.9907500483333 lat 46.4685906166667 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,Plant 90,Infrastructure 89,Tree 89,Road surface 88,Asphalt 88,Mode of transport 86,Thoroughfare 85,Line 83
long 16.9907500483333 lat 46.4685906166667 viewpoint 270 degrees.jpeg,Car 96,Plant 96,Wheel 94,Motor vehicle 93,Tree 90,Tire 89,Vehicle 88,Asphalt 86,Mode of transport 85,Land lot 84
long 16.9907500483333 lat 46.4685906166667 viewpoint 90 degrees.jpeg,Plant 92,Shade 88,Tree 87,Asphalt 82,Public space 81,Font 80,Table 78,Grass 75,Motor vehicle 75,Technology 74
long 16.9907557329193 lat 46.4681307701863 viewpoint 0 degrees.jpeg,Sky 94,Cloud 93,Light 91,Tree 90,Infrastructure 90,Car 90,Asphalt 89,Road surface 87,Automotive mirror 86,Mode of transport 85
long 16.9907557329193 lat 46.4681307701863 viewpoint 180 degrees.jpeg,Cloud 96,Sky 92,Plant 91,Motor vehicle 91,Infrastructure 89,Tree 89,Car 89,Asphalt 88,Road surface 88,Automotive tire 87
long 16.9907557329193 lat 46.4681307701863 viewpoint 270 degrees.jpeg,Wheel 97,Tire 96,Car 95,Plant 94,Motor vehicle 92,Vehicle 92,Tree 89,Asphalt 86,Mode of transport 86,Biome 83
long 16.9907557329193 lat 46.4681307701863 viewpoint 90 degrees.jpeg,Tire 97,Wheel 97,Car 97,Plant 96,Vehicle 92,Motor vehicle 92,Tree 90,Road surface 89,Infrastructure 89,Automotive mirror 89
long 16.990764 lat 46.467956 viewpoint 0 degrees.jpeg,Sky 94,Cloud 93,Plant 91,Tree 90,Asphalt 89,Road surface 88,Mode of transport 85,Thoroughfare 84,Biome 84,Font 84
long 16.990764 lat 46.467956 viewpoint 180 degrees.jpeg,Car 94,Cloud 94,Plant 93,Sky 91,Tree 90,Infrastructure 90,Asphalt 89,Road surface 89,Wheel 86,Motor vehicle 85
long 16.990764 lat 46.467956 viewpoint 270 degrees.jpeg,Automotive parking light 98,Car 97,Automotive tail & brake light 95,Tire 95,Vehicle 95,Sky 94,Wheel 94,Plant 94,Motor vehicle 92,Tree 89
long 16.990764 lat 46.467956 viewpoint 90 degrees.jpeg,Tire 96,Car 96,Plant 96,Wheel 96,Vehicle 93,Motor vehicle 91,Tree 90,Infrastructure 89,Asphalt 88,Mode of transport 84
long 16.9907640153846 lat 46.4684588461539 viewpoint 0 degrees.jpeg,Cloud 95,Photograph 94,Sky 92,Infrastructure 90,Road surface 89,Asphalt 89,Tree 88,Mode of transport 86,Thoroughfare 85,Screenshot 83
long 16.9907640153846 lat 46.4684588461539 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Tire 93,Wheel 92,Infrastructure 90,Road surface 89,Plant 89,Tree 88,Asphalt 88
long 16.9907640153846 lat 46.4684588461539 viewpoint 270 degrees.jpeg,Wheel 97,Tire 95,Car 95,Motor vehicle 94,Plant 94,Vehicle 93,Infrastructure 90,Street light 90,Tree 89,Asphalt 89
long 16.9907640153846 lat 46.4684588461539 viewpoint 90 degrees.jpeg,Plant 92,Tree 89,Shade 88,Asphalt 87,Road surface 84,Urban design 82,Tire 81,Motor vehicle 78,Gas 77,Wheel 77
long 16.9907679333333 lat 46.4681318583333 viewpoint 0 degrees.jpeg,Sky 94,Cloud 93,Light 91,Tree 90,Infrastructure 90,Car 90,Asphalt 89,Road surface 87,Automotive mirror 86,Mode of transport 85
long 16.9907679333333 lat 46.4681318583333 viewpoint 180 degrees.jpeg,Cloud 96,Sky 92,Motor vehicle 91,Infrastructure 90,Plant 90,Tree 89,Road surface 89,Asphalt 88,Car 86,Automotive tire 86
long 16.9907679333333 lat 46.4681318583333 viewpoint 270 degrees.jpeg,Wheel 97,Tire 96,Car 95,Plant 94,Motor vehicle 92,Vehicle 92,Tree 89,Asphalt 86,Mode of transport 86,Biome 83
long 16.9907679333333 lat 46.4681318583333 viewpoint 90 degrees.jpeg,Tire 97,Wheel 97,Car 97,Plant 96,Vehicle 92,Motor vehicle 92,Tree 90,Road surface 89,Infrastructure 89,Automotive mirror 89
long 16.9907718666667 lat 46.4683077166667 viewpoint 0 degrees.jpeg,Cloud 94,Sky 94,Light 91,Infrastructure 90,Road surface 89,Asphalt 89,Tree 87,Mode of transport 85,Thoroughfare 85,Motor vehicle 84
long 16.9907718666667 lat 46.4683077166667 viewpoint 180 degrees.jpeg,Sky 94,Cloud 93,Tree 90,Plant 89,Infrastructure 89,Motor vehicle 88,Asphalt 87,Road surface 86,Mode of transport 85,Car 84
long 16.9907718666667 lat 46.4683077166667 viewpoint 270 degrees.jpeg,Car 97,Wheel 97,Land vehicle 96,Tire 96,Plant 95,Vehicle 94,Motor vehicle 91,Tree 89,Street light 88,Asphalt 87
long 16.9907718666667 lat 46.4683077166667 viewpoint 90 degrees.jpeg,Plant 96,Car 96,Wheel 96,Cloud 95,Tire 94,Motor vehicle 93,Sky 92,Vehicle 91,Nature 90,Tree 89
long 16.990773272 lat 46.468128128 viewpoint 0 degrees.jpeg,Sky 94,Cloud 93,Light 91,Tree 90,Infrastructure 90,Car 90,Asphalt 89,Road surface 87,Automotive mirror 86,Mode of transport 85
long 16.990773272 lat 46.468128128 viewpoint 180 degrees.jpeg,Cloud 96,Sky 92,Motor vehicle 91,Infrastructure 90,Plant 90,Tree 89,Road surface 89,Asphalt 88,Car 86,Automotive tire 86
long 16.990773272 lat 46.468128128 viewpoint 270 degrees.jpeg,Wheel 97,Tire 96,Car 95,Plant 94,Motor vehicle 92,Vehicle 92,Tree 89,Asphalt 86,Mode of transport 86,Biome 83
long 16.990773272 lat 46.468128128 viewpoint 90 degrees.jpeg,Tire 97,Wheel 97,Car 97,Plant 96,Vehicle 92,Motor vehicle 92,Tree 90,Road surface 89,Infrastructure 89,Automotive mirror 89
long 16.9907737454545 lat 46.4686926818182 viewpoint 0 degrees.jpeg,Plant 93,Cloud 91,Nature 90,Infrastructure 89,Sky 89,Tree 88,Asphalt 88,Road surface 86,Thoroughfare 83,Font 83
long 16.9907737454545 lat 46.4686926818182 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,Photograph 94,Plant 92,Tree 90,Infrastructure 90,Asphalt 88,Road surface 88,Mode of transport 86,Thoroughfare 84
long 16.9907737454545 lat 46.4686926818182 viewpoint 270 degrees.jpeg,Car 97,Plant 96,Tire 95,Wheel 94,Vehicle 91,Motor vehicle 89,Infrastructure 89,Tree 89,Automotive mirror 88,Asphalt 86
long 16.9907737454545 lat 46.4686926818182 viewpoint 90 degrees.jpeg,Window 94,Building 92,Tree 88,House 84,Door 81,Cottage 77,Facade 77,Roof 76,Font 75,Automotive exterior 72
long 16.9907758 lat 46.468483575 viewpoint 0 degrees.jpeg,Cloud 95,Photograph 94,Sky 92,Infrastructure 90,Road surface 89,Asphalt 89,Tree 88,Mode of transport 86,Thoroughfare 85,Screenshot 83
long 16.9907758 lat 46.468483575 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Tire 93,Wheel 92,Infrastructure 90,Road surface 89,Plant 89,Tree 88,Asphalt 88
long 16.9907758 lat 46.468483575 viewpoint 270 degrees.jpeg,Wheel 97,Tire 95,Car 95,Motor vehicle 94,Plant 94,Vehicle 93,Infrastructure 90,Street light 90,Tree 89,Asphalt 89
long 16.9907758 lat 46.468483575 viewpoint 90 degrees.jpeg,Plant 92,Tree 89,Shade 88,Asphalt 87,Road surface 84,Urban design 82,Tire 81,Motor vehicle 78,Gas 77,Wheel 77
long 16.990776908 lat 46.4689622 viewpoint 0 degrees.jpeg,Property 94,Building 93,Plant 90,Nature 90,Tree 87,Land lot 85,Biome 83,Fence 82,Line 82,Font 79
long 16.990776908 lat 46.4689622 viewpoint 180 degrees.jpeg,Tire 96,Wheel 94,Plant 93,Tree 89,Asphalt 87,Car 86,Road surface 84,Vehicle 82,Screenshot 81,Woody plant 81
long 16.990776908 lat 46.4689622 viewpoint 270 degrees.jpeg,Plant 96,Tree 89,Asphalt 86,Motor vehicle 86,Biome 84,Thoroughfare 83,Road surface 83,Automotive mirror 83,Screenshot 82,Woody plant 81
long 16.990776908 lat 46.4689622 viewpoint 90 degrees.jpeg,Plant 96,Cloud 94,Nature 90,Sky 90,Street light 90,Infrastructure 89,Tree 89,Asphalt 88,Road surface 86,Natural landscape 86
long 16.9907797333333 lat 46.4686594333333 viewpoint 0 degrees.jpeg,Plant 93,Cloud 91,Nature 90,Infrastructure 89,Tree 88,Asphalt 88,Sky 88,Road surface 86,Thoroughfare 83,Font 83
long 16.9907797333333 lat 46.4686594333333 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,Photograph 94,Plant 92,Tree 90,Infrastructure 90,Asphalt 88,Road surface 88,Mode of transport 86,Thoroughfare 84
long 16.9907797333333 lat 46.4686594333333 viewpoint 90 degrees.jpeg,Window 94,Building 92,Tree 88,House 84,Door 81,Cottage 77,Facade 77,Roof 76,Font 75,Automotive exterior 72
long 16.990782544 lat 46.468300256 viewpoint 0 degrees.jpeg,Cloud 94,Sky 94,Light 91,Infrastructure 90,Road surface 89,Asphalt 89,Tree 87,Mode of transport 85,Thoroughfare 85,Motor vehicle 84
