long 16.9871437 lat 46.4526973 viewpoint 0 degrees.jpeg,World 92,Plant 91,Nature 90,Tree 88,Branch 88,Sky 86,Building 85,Biome 83,Woody plant 82,Urban design 82
long 16.9871437 lat 46.4526973 viewpoint 180 degrees.jpeg,Window 90,Building 87,Land lot 86,Plant 86,Grass 85,Tree 82,Screenshot 81,House 80,Landscape 78,Lawn 76
long 16.9871437 lat 46.4526973 viewpoint 270 degrees.jpeg,Plant 95,Sky 95,Photograph 94,Nature 90,Infrastructure 89,Street light 89,Tree 88,Asphalt 87,Road surface 87,Urban design 83
long 16.9871437 lat 46.4526973 viewpoint 90 degrees.jpeg,Sky 95,Photograph 94,Plant 92,Light 91,Nature 90,Building 89,Asphalt 87,Tree 85,Road surface 85,Mode of transport 84
long 16.98714475 lat 46.452343 viewpoint 0 degrees.jpeg,Building 92,Window 89,Plant 88,Lighting 86,Biome 84,Font 84,Urban design 83,Line 82,Screenshot 80,Tree 79
long 16.98714475 lat 46.452343 viewpoint 180 degrees.jpeg,Building 92,Sky 91,Car 90,Tree 90,Infrastructure 90,Plant 89,Asphalt 88,Road surface 87,Lighting 87,Urban design 85
long 16.98714475 lat 46.452343 viewpoint 270 degrees.jpeg,Sky 94,Plant 94,Tire 94,Wheel 92,Infrastructure 90,Asphalt 89,Tree 89,Road surface 89,Vehicle 89,Lighting 87
long 16.98714475 lat 46.452343 viewpoint 90 degrees.jpeg,Plant 94,Nature 90,Tree 89,Natural landscape 87,Road surface 87,Sky 86,Graphics software 86,Asphalt 86,Urban design 84,Biome 84
long 16.987149375 lat 46.45247475 viewpoint 0 degrees.jpeg,Building 92,Window 89,Plant 88,Font 84,Biome 84,Urban design 83,Line 82,Screenshot 79,Grass 79,Tree 79
long 16.987149375 lat 46.45247475 viewpoint 180 degrees.jpeg,Building 92,Sky 91,Car 90,Tree 90,Infrastructure 90,Plant 89,Asphalt 88,Road surface 87,Lighting 87,Urban design 85
long 16.987149375 lat 46.45247475 viewpoint 270 degrees.jpeg,Sky 94,Plant 94,Tire 94,Wheel 92,Infrastructure 90,Vehicle 89,Tree 89,Asphalt 89,Road surface 89,Lighting 87
long 16.987149375 lat 46.45247475 viewpoint 90 degrees.jpeg,Plant 94,Nature 90,Tree 89,Natural landscape 87,Road surface 87,Sky 86,Graphics software 86,Asphalt 86,Urban design 84,Biome 84
long 16.9871521666667 lat 46.4525811666667 viewpoint 0 degrees.jpeg,Sky 93,Tire 92,Building 91,Window 90,Vehicle 90,Wheel 89,Car 88,Cloud 87,Tree 85,Asphalt 83
long 16.9871521666667 lat 46.4525811666667 viewpoint 180 degrees.jpeg,Sky 91,Nature 90,Plant 90,Asphalt 87,Tree 86,Biome 83,Screenshot 83,Grass 83,Road surface 82,Font 82
long 16.9871521666667 lat 46.4525811666667 viewpoint 270 degrees.jpeg,Building 93,Window 90,Tree 87,Plant 86,Land lot 84,Biome 84,Screenshot 83,Grass 82,Wood 80,Real estate 79
long 16.9871521666667 lat 46.4525811666667 viewpoint 90 degrees.jpeg,Property 94,Photograph 94,Plant 93,Building 92,World 91,Nature 90,Window 89,Tree 87,Lighting 87,Urban design 85
long 16.987156125 lat 46.4525525 viewpoint 0 degrees.jpeg,Sky 95,Building 92,World 92,Window 89,Road surface 86,Tree 85,Asphalt 85,Urban design 85,Biome 83,Screenshot 81
long 16.987156125 lat 46.4525525 viewpoint 180 degrees.jpeg,Sky 91,Nature 90,Infrastructure 89,Road surface 88,Asphalt 88,Plant 88,Tree 86,Biome 84,Font 83,Woody plant 82
long 16.987156125 lat 46.4525525 viewpoint 270 degrees.jpeg,Property 94,Ecoregion 92,Nature 90,Window 89,Font 84,Biome 83,Screenshot 82,Building 81,Software 80,Adaptation 79
long 16.987156125 lat 46.4525525 viewpoint 90 degrees.jpeg,Property 94,Plant 93,Window 92,Building 91,Nature 90,Land lot 86,Urban design 86,Grass 85,Font 84,Biome 83
long 16.9871628333333 lat 46.4527031666667 viewpoint 0 degrees.jpeg,World 92,Plant 91,Nature 90,Tree 88,Branch 88,Sky 86,Building 85,Biome 83,Woody plant 82,Urban design 82
long 16.9871628333333 lat 46.4527031666667 viewpoint 180 degrees.jpeg,Window 90,Plant 87,Building 87,Land lot 86,Grass 85,Tree 82,House 82,Screenshot 80,Landscape 78,Lawn 76
long 16.9871628333333 lat 46.4527031666667 viewpoint 270 degrees.jpeg,Plant 95,Sky 95,Photograph 94,Nature 90,Infrastructure 89,Street light 89,Tree 88,Asphalt 87,Road surface 87,Urban design 83
long 16.9871628333333 lat 46.4527031666667 viewpoint 90 degrees.jpeg,Sky 95,Photograph 94,Plant 92,Light 91,Nature 90,Building 89,Asphalt 87,Tree 85,Road surface 85,Mode of transport 84
long 16.9871636875 lat 46.4525504375 viewpoint 0 degrees.jpeg,Sky 95,Building 92,World 92,Window 89,Road surface 86,Tree 85,Asphalt 85,Urban design 85,Biome 83,Screenshot 81
long 16.9871636875 lat 46.4525504375 viewpoint 180 degrees.jpeg,Sky 91,Nature 90,Infrastructure 89,Road surface 88,Asphalt 88,Plant 88,Tree 86,Biome 84,Font 83,Woody plant 82
long 16.9871636875 lat 46.4525504375 viewpoint 270 degrees.jpeg,Property 94,Ecoregion 92,Nature 90,Window 89,Font 84,Biome 83,Screenshot 82,Building 81,Software 80,Adaptation 79
long 16.9871636875 lat 46.4525504375 viewpoint 90 degrees.jpeg,Property 94,Plant 93,Window 92,Building 91,Nature 90,Land lot 86,Urban design 86,Grass 85,Font 84,Biome 83
long 16.987168125 lat 46.45268975 viewpoint 0 degrees.jpeg,World 92,Plant 91,Nature 90,Tree 88,Branch 88,Sky 86,Building 85,Biome 83,Woody plant 82,Urban design 82
long 16.987168125 lat 46.45268975 viewpoint 180 degrees.jpeg,Window 90,Building 87,Land lot 86,Plant 86,Grass 85,Tree 82,Screenshot 81,House 80,Landscape 78,Lawn 76
long 16.987168125 lat 46.45268975 viewpoint 270 degrees.jpeg,Plant 95,Sky 95,Photograph 94,Nature 90,Infrastructure 89,Street light 89,Tree 88,Asphalt 87,Road surface 87,Urban design 83
long 16.987168125 lat 46.45268975 viewpoint 90 degrees.jpeg,Sky 95,Photograph 94,Plant 92,Light 91,Nature 90,Building 89,Asphalt 87,Tree 85,Road surface 85,Mode of transport 84
long 16.987172125 lat 46.45262175 viewpoint 0 degrees.jpeg,Sky 93,Tire 92,Building 91,Window 90,Vehicle 90,Wheel 89,Car 88,Cloud 87,Tree 85,Asphalt 83
