long 16.989136 lat 46.457349 viewpoint 90 degrees.jpeg,Window 95,Property 94,Building 92,Fixture 89,Lighting 86,Yellow 85,Font 82,Line 82,Door 82,Wall 82
long 16.98916 lat 46.4574605 viewpoint 0 degrees.jpeg,Cloud 94,Sky 91,Car 91,Motor vehicle 90,Infrastructure 89,Vehicle 89,Automotive lighting 89,Window 89,Road surface 87,Asphalt 87
long 16.98916 lat 46.4574605 viewpoint 180 degrees.jpeg,Cloud 94,Tire 94,Sky 94,Window 93,Building 91,Vehicle 91,Wheel 91,Car 90,Automotive lighting 87,Architecture 86
long 16.98916 lat 46.4574605 viewpoint 270 degrees.jpeg,Building 95,Window 92,Motor vehicle 82,Asphalt 82,Urban design 82,Line 82,Facade 78,Door 78,Screenshot 77,Font 76
long 16.98916 lat 46.4574605 viewpoint 90 degrees.jpeg,Building 92,Window 91,Door 91,Home door 81,Fixture 80,Facade 79,Font 78,House 77,Wood 77,Screenshot 76
long 16.989192 lat 46.457491 viewpoint 0 degrees.jpeg,Automotive parking light 98,Car 95,Cloud 95,Vehicle 95,Property 94,Photograph 94,Sky 93,Automotive lighting 91,Motor vehicle 91,Automotive tail & brake light 91
long 16.989192 lat 46.457491 viewpoint 180 degrees.jpeg,Building 94,Cloud 92,Window 91,Automotive lighting 90,Car 89,Sky 88,Vehicle 87,Lighting 87,Asphalt 87,Tire 87
long 16.989192 lat 46.457491 viewpoint 270 degrees.jpeg,Property 94,Building 93,Door 89,Architecture 85,Window 84,Wall 81,Facade 80,Gas 78,House 77,Asphalt 76
long 16.989192 lat 46.457491 viewpoint 90 degrees.jpeg,Window 91,Building 89,Wood 83,Line 82,Screenshot 80,Font 80,Facade 77,Rectangle 75,Technology 73,Software 72
long 16.9892 lat 46.45741 viewpoint 0 degrees.jpeg,Window 94,Building 93,Sky 91,Cloud 90,Infrastructure 90,Asphalt 89,Road surface 87,Lighting 86,Motor vehicle 86,Street light 85
long 16.9892 lat 46.45741 viewpoint 180 degrees.jpeg,Sky 96,Cloud 90,Window 90,Architecture 86,Asphalt 85,Building 84,Yellow 84,Automotive lighting 83,Car 81,Screenshot 81
long 16.9892 lat 46.45741 viewpoint 270 degrees.jpeg,Building 94,Window 93,Vehicle 92,Motor vehicle 90,Automotive lighting 85,Automotive exterior 83,Door 79,Car 79,Facade 78,Parking 77
long 16.9892 lat 46.45741 viewpoint 90 degrees.jpeg,Property 94,Building 89,Fixture 88,Window 88,Font 80,Screenshot 79,Facade 79,Door 78,Home door 75,Room 66
